title,address,city,area,property_id,price,bedrooms,bathrooms,property_type
3 Deluxe Room in Nusa Penida – Right on the Beach,"Jl. Ped - Buyuk, Ped, Nusapenida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Nusa Penida,PR0447,Start from $49 USD per night,3,3,"Guest House, Residential"
Magical Balinese Cabin in Nusa Penida w/ Sea View,"Batununggul, Nusapenida, Klungkung Regency, Bali 80771",Nusa Penida,Nusa Penida,PR0383,Start from $30 USD per night,2,2,"Guest House, Residential"
Serene Wooden Cabin Near Banjar Nyuh Harbour,"Jl. Raya Toya Pakeh - Ped, Ped, Nusapenida, Kabupaten Klungkung, Bali 80771",Nusa Penida,Nusa Penida,PR0345,Start from $19 USD per night,2,2,Guest House
Tranquil Homestay with Serene Garden in West Jogja,"Tamantirto, Kasihan, Bantul, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,PR0340,Mulai dari Rp490.000 Rupiah per Malam,2,2,Guest House
Spacious Artist’s House w/ Many Creative Touches,"Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,PR0758,Mulai dari Rp1.231.000 Rupiah per Malam,3,2,Homestay
"Serene Javanese Home near Pakualaman Palace, Jogja","Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,PR0707,Mulai dari R2.175.000 Rupiah per Malam,4,2,Guest House
Vintage Jogja Villa with Waterfall View!,"Sanggrahan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Yogyakarta,Yogyakarta,PR0387,Mulai dari Rp1.231.000 Rupiah per Malam,2,2,"View, Villa"
Mesmerizing 2BR Kokomo Villa in Umalas with Pool,"Jl. Bumbak Umalas, Kerobokan Kelod, Kuta Utara, Badung Regency, Bali",Bali,Canggu,PR0759,"Start from $4,750 USD per Month",2,2,"Ocean view, Rice paddy view"
Minimalist Room with Superb Ocean View at Bingin,"Jl. Pantai Bingin, Pecatu, Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bingin,PR0120,"Start from $1,060 USD per Month",2,2,"Beachfront, Guest House"
Bright & Sunny Guesthouse with Green Lawn and Pool,"Jl. Pantai Bingin, Pecatu, Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bingin,PR0057,Start from $920 USD per Month,2,2,Guest House
Remote Worker Heaven in Canggu with 200Mbps Wi-Fi,"Jl. Raya Pantai Berawa, Tibubeneng, Kuta Utara, Kabupaten Badung, Bali, Indonesia",Bali,Canggu,PR0126,Start from $790 USD per Month,2,2,Guest House
Summer Vibe Stay in Bingin with Pool + Fast WIFI,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali, Indonesia",Bali,Bingin,PR0694,"Start from $1,090 USD per Month",2,2,Guest House
"Tempting Summer Vibe GH in Canggu, Close to Beach","Jl. Tanah Barak, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali, Indonesia",Bali,not found,UN2357,Start from $790 USD per Month,2,2,Guest House
